NutsID,DICOFRE,region_name,year,edu_none,edu_basic,edu_secondary,edu_superior,labour_family,labour_holder,labour_spouse,labour_other_family,labour_non_family,labour_regular,labour_non_regular,labour_not_hired,production_eur,production_area
184020808,20808,UniÃ£o das freguesias de Ferreira do Alentejo e Canhestros,1999,265,738,120,53,277,198,51,28,275,213,53,9,16215836.0,675.5
184020808,20808,UniÃ£o das freguesias de Ferreira do Alentejo e Canhestros,2009,212,483,97,79,158,131,20,6,897,152,518,226,18355863.0,769.1
184020808,20808,UniÃ£o das freguesias de Ferreira do Alentejo e Canhestros,2019,96,391,138,111,175,134,22,19,688,280,350,58,36695344.0,1182.1
184020901,20901,Alcaria Ruiva,1999,104,170,29,27,87,63,14,11,103,73,28,2,5051753.0,317.0
184020901,20901,Alcaria Ruiva,2009,62,188,43,37,82,56,13,13,94,81,10,4,6140941.0,345.6
184020901,20901,Alcaria Ruiva,2019,46,147,67,74,67,45,11,12,82,66,11,5,14468874.0,758.9
184020902,20902,Corte do Pinto,1999,69,113,11,9,79,46,17,16,7,5,2,1,1883586.0,372.4
184020902,20902,Corte do Pinto,2009,44,94,15,8,46,31,7,8,9,8,1,0,1506457.0,360.3
184020902,20902,Corte do Pinto,2019,18,68,21,12,35,27,6,2,28,26,1,1,2748730.0,523.0
184020903,20903,EspÃ­rito Santo,1999,65,95,12,5,59,37,10,12,16,11,4,1,1752435.0,292.3
184020903,20903,EspÃ­rito Santo,2009,39,82,15,7,30,21,6,4,25,17,7,0,1335838.0,178.8
184020903,20903,EspÃ­rito Santo,2019,25,98,26,38,31,22,5,4,42,18,16,8,10017515.0,1013.9
184020904,20904,MÃ©rtola,1999,153,207,20,16,133,86,29,18,55,44,10,1,5716009.0,303.8
184020904,20904,MÃ©rtola,2009,40,217,36,12,100,73,16,10,76,67,8,1,4557934.0,224.1
184020904,20904,MÃ©rtola,2019,52,219,81,61,88,66,15,8,105,81,18,6,17174388.0,671.5
184020905,20905,Santana de Cambas,1999,99,153,15,7,95,62,19,15,18,13,4,1,4263468.0,338.4
184020905,20905,Santana de Cambas,2009,49,148,24,14,67,48,11,8,27,22,4,1,3112612.0,261.0
184020905,20905,Santana de Cambas,2019,35,141,49,40,60,45,11,4,46,28,15,3,4784888.0,366.0
184020906,20906,SÃ£o JoÃ£o dos Caldeireiros,1999,57,86,6,11,28,18,9,2,32,28,3,1,3272127.0,392.7
184020906,20906,SÃ£o JoÃ£o dos Caldeireiros,2009,34,65,7,4,29,19,4,6,31,29,2,1,1458670.0,162.6
184020906,20906,SÃ£o JoÃ£o dos Caldeireiros,2019,22,53,8,19,19,15,2,2,35,26,5,4,5856350.0,627.1
184020910,20910,"UniÃ£o das freguesias de SÃ£o Miguel do Pinheiro, SÃ£o Pedro de Solis e SÃ£o SebastiÃ£o dos Carros",1999,147,234,17,13,97,56,28,13,51,41,9,2,4815308.0,340.9
